engagement_id,member_id,record_date,check_ins_count,app_logins_count,classes_attended,trainer_sessions,engagement_score,last_visit_date,at_risk_flag,churn_probability
ENG00000047,MEM000253,2024-03-14,3,21,10,7,100.0,2024-02-23,No,0.0
ENG00000048,MEM001050,2024-10-14,14,4,7,8,100.0,2024-09-26,No,0.0
ENG00000049,MEM000472,2024-10-28,3,27,2,6,89.5,2024-09-28,No,0.1
ENG00000050,MEM002301,2024-01-23,27,22,1,0,70.0,2023-12-31,No,0.3
ENG00000051,MEM000143,2024-05-30,29,21,3,4,100.0,2024-05-19,No,0.0
ENG00000052,MEM001667,2024-09-04,10,18,1,4,74.0,2024-08-27,No,0.26
ENG00000053,MEM000375,2024-01-10,30,49,14,0,100.0,2023-12-18,No,0.0
ENG00000054,MEM001769,2024-07-01,11,24,3,7,100.0,2024-06-28,No,0.0
ENG00000055,MEM002149,2024-03-04,24,14,14,1,100.0,2024-02-29,No,0.0
ENG00000056,MEM001168,2024-07-19,16,3,8,3,100.0,2024-06-29,No,0.0
ENG00000057,MEM001752,2024-08-07,7,20,7,1,69.0,2024-08-07,No,0.31
ENG00000058,MEM000305,2024-01-25,4,6,13,6,100.0,2024-01-08,No,0.0
ENG00000059,MEM000986,2024-05-28,22,5,4,3,96.5,2024-05-23,No,0.04
ENG00000060,MEM000086,2024-09-12,0,1,15,2,95.5,2024-08-14,No,0.04
ENG00000061,MEM002321,2024-10-12,13,31,15,1,100.0,2024-10-10,No,0.0
ENG00000062,MEM000820,2024-12-04,27,28,13,1,100.0,2024-11-18,No,0.0
ENG00000063,MEM001594,2024-11-13,30,15,9,6,100.0,2024-11-10,No,0.0
ENG00000064,MEM001996,2024-04-09,23,9,0,2,70.5,2024-03-30,No,0.29
ENG00000065,MEM000710,2024-02-08,9,38,5,0,62.0,2024-01-27,No,0.38
ENG00000066,MEM002407,2024-12-12,13,29,10,4,100.0,2024-11-24,No,0.0
ENG00000067,MEM001409,2024-02-23,25,13,2,2,86.5,2024-02-04,No,0.14
ENG00000068,MEM000065,2024-06-10,30,41,12,4,100.0,2024-05-16,No,0.0
ENG00000069,MEM001250,2024-10-03,9,46,4,3,91.0,2024-09-12,No,0.09
ENG00000070,MEM001627,2024-04-17,23,5,9,5,100.0,2024-03-20,No,0.0
ENG00000071,MEM001781,2024-07-17,1,24,1,4,59.0,2024-06-20,No,0.41
ENG00000072,MEM001756,2024-06-18,30,30,14,0,100.0,2024-05-22,No,0.0
ENG00000073,MEM000063,2024-11-04,23,16,9,0,99.0,2024-10-10,No,0.01
ENG00000074,MEM000412,2024-08-23,13,33,5,0,67.5,2024-08-03,No,0.33
ENG00000075,MEM000680,2024-01-08,11,26,1,3,70.0,2023-12-09,No,0.3
ENG00000076,MEM000752,2024-03-12,10,12,14,5,100.0,2024-02-17,No,0.0
ENG00000077,MEM002354,2024-02-02,1,3,5,1,38.5,2024-01-16,No,0.61
ENG00000078,MEM002395,2024-04-02,15,45,14,3,100.0,2024-03-06,No,0.0
ENG00000079,MEM000343,2024-02-20,26,16,5,7,100.0,2024-01-30,No,0.0
ENG00000080,MEM002471,2024-01-25,8,13,0,7,92.5,2024-01-15,No,0.07
ENG00000081,MEM002307,2024-05-28,23,4,3,4,100.0,2024-05-09,No,0.0
ENG00000082,MEM001225,2024-04-10,17,3,10,1,95.5,2024-04-08,No,0.04
ENG00000083,MEM000228,2024-07-27,17,1,15,7,100.0,2024-07-08,No,0.0
ENG00000084,MEM001077,2024-11-01,3,22,9,7,100.0,2024-10-20,No,0.0
ENG00000085,MEM000924,2024-04-27,0,45,14,4,100.0,2024-04-02,No,0.0
ENG00000086,MEM000120,2024-12-12,28,42,1,8,100.0,2024-11-29,No,0.0
ENG00000087,MEM002055,2024-08-14,25,12,5,3,100.0,2024-07-31,No,0.0
ENG00000088,MEM001307,2024-01-07,24,37,9,7,100.0,2024-01-05,No,0.0
ENG00000089,MEM001547,2024-04-07,23,22,9,0,100.0,2024-04-06,No,0.0
ENG00000090,MEM000376,2024-02-04,8,15,9,6,100.0,2024-01-20,No,0.0
ENG00000091,MEM001832,2024-09-18,6,5,12,2,94.5,2024-09-13,No,0.06
ENG00000092,MEM001174,2024-09-07,5,33,7,3,91.5,2024-08-31,No,0.09
ENG00000093,MEM001156,2024-04-28,25,8,10,0,100.0,2024-04-13,No,0.0
ENG00000094,MEM001913,2024-10-25,3,18,4,7,100.0,2024-10-05,No,0.0
ENG00000095,MEM000331,2024-02-29,4,49,10,4,100.0,2024-02-26,No,0.0
ENG00000096,MEM000631,2024-10-10,8,25,0,0,28.5,2024-09-14,No,0.71
ENG00000097,MEM000619,2024-06-06,15,21,6,1,80.5,2024-05-25,No,0.2
ENG00000098,MEM001414,2024-05-04,15,34,11,5,100.0,2024-05-03,No,0.0
ENG00000099,MEM002083,2024-10-25,26,32,0,1,78.0,2024-09-25,No,0.22
ENG00000100,MEM001301,2024-01-03,20,19,3,7,100.0,2023-12-16,No,0.0
ENG00000101,MEM001241,2024-07-12,22,45,4,7,100.0,2024-06-26,No,0.0
ENG00000102,MEM000187,2024-04-14,30,23,8,5,100.0,2024-04-11,No,0.0
ENG00000103,MEM002207,2024-10-14,11,19,13,5,100.0,2024-10-02,No,0.0
ENG00000104,MEM001539,2024-02-10,5,0,2,1,30.0,2024-02-07,No,0.7
ENG00000105,MEM000944,2024-04-14,16,29,12,0,100.0,2024-03-31,No,0.0
ENG00000106,MEM001263,2024-08-31,14,13,1,2,59.5,2024-08-16,No,0.41
ENG00000107,MEM001414,2024-06-19,10,23,2,1,51.5,2024-06-10,No,0.48
ENG00000108,MEM002405,2024-04-08,29,17,10,7,100.0,2024-03-29,No,0.0
ENG00000109,MEM000061,2024-11-08,25,28,11,6,100.0,2024-11-06,No,0.0
ENG00000110,MEM002411,2024-06-17,26,4,8,7,100.0,2024-05-30,No,0.0
ENG00000111,MEM001186,2024-04-30,11,47,14,4,100.0,2024-04-23,No,0.0
ENG00000112,MEM000263,2024-01-19,23,44,10,8,100.0,2024-01-12,No,0.0
ENG00000113,MEM000460,2024-10-08,13,35,0,2,63.5,2024-09-23,No,0.36
ENG00000114,MEM001717,2024-12-16,11,2,8,3,93.0,2024-11-26,No,0.07
ENG00000115,MEM001356,2024-09-17,23,29,4,7,100.0,2024-09-06,No,0.0
ENG00000116,MEM000603,2024-04-08,3,29,0,4,60.5,2024-03-19,No,0.4
ENG00000117,MEM000104,2024-11-30,2,8,14,8,100.0,2024-11-09,No,0.0
ENG00000118,MEM000343,2024-12-09,19,19,7,1,92.5,2024-11-12,No,0.07
ENG00000119,MEM001826,2024-07-25,2,44,11,2,100.0,2024-07-25,No,0.0
ENG00000120,MEM000919,2024-08-07,26,2,12,4,100.0,2024-07-11,No,0.0
ENG00000121,MEM001495,2024-02-16,18,38,4,7,100.0,2024-01-20,No,0.0
ENG00000122,MEM001401,2024-11-05,23,50,13,3,100.0,2024-10-29,No,0.0
ENG00000123,MEM002221,2024-09-19,12,0,8,5,100.0,2024-08-26,No,0.0
ENG00000124,MEM000489,2024-06-23,2,27,2,2,47.5,2024-06-07,No,0.53
ENG00000125,MEM000772,2024-08-08,18,26,15,4,100.0,2024-08-05,No,0.0
ENG00000126,MEM001794,2024-01-13,19,21,1,5,100.0,2023-12-19,No,0.0
ENG00000127,MEM002138,2024-10-19,15,27,4,6,100.0,2024-10-16,No,0.0
ENG00000128,MEM000202,2024-08-21,22,13,6,6,100.0,2024-07-22,No,0.0
ENG00000129,MEM000041,2024-02-18,27,2,3,0,70.0,2024-02-07,No,0.3
ENG00000130,MEM001602,2024-07-21,24,41,2,3,100.0,2024-07-13,No,0.0
ENG00000131,MEM000892,2024-08-18,16,35,5,2,94.5,2024-08-10,No,0.06
ENG00000132,MEM000387,2024-11-28,16,31,0,7,100.0,2024-11-25,No,0.0
ENG00000133,MEM001488,2024-08-03,6,17,1,2,45.5,2024-07-29,No,0.55
ENG00000134,MEM001878,2024-03-26,11,42,8,4,100.0,2024-03-05,No,0.0
ENG00000135,MEM000145,2024-05-15,24,34,10,1,100.0,2024-05-05,No,0.0
ENG00000136,MEM002229,2024-03-17,29,50,10,4,100.0,2024-02-29,No,0.0
ENG00000137,MEM001633,2024-05-25,7,9,2,6,88.5,2024-05-22,No,0.12
ENG00000138,MEM001318,2024-06-09,21,34,10,8,100.0,2024-05-15,No,0.0
ENG00000139,MEM000352,2024-05-28,2,47,1,6,92.5,2024-05-22,No,0.07
ENG00000140,MEM001951,2024-10-04,19,38,4,1,87.0,2024-09-05,No,0.13
ENG00000141,MEM000330,2024-10-12,23,12,12,6,100.0,2024-10-07,No,0.0
ENG00000142,MEM001621,2024-03-01,8,32,6,8,100.0,2024-02-09,No,0.0
ENG00000143,MEM001252,2024-06-19,30,24,5,2,100.0,2024-05-24,No,0.0
ENG00000144,MEM000274,2024-12-07,19,46,4,3,100.0,2024-11-25,No,0.0
ENG00000145,MEM000600,2024-05-03,19,26,6,3,100.0,2024-05-01,No,0.0
ENG00000146,MEM001106,2024-01-26,12,30,14,1,100.0,2024-01-01,No,0.0
ENG00000147,MEM002352,2024-09-12,17,5,12,0,96.5,2024-08-25,No,0.04
ENG00000148,MEM001729,2024-11-25,24,4,6,2,100.0,2024-11-05,No,0.0
ENG00000149,MEM001059,2024-10-30,8,36,8,5,100.0,2024-10-02,No,0.0
ENG00000150,MEM000946,2024-02-28,1,47,0,5,75.5,2024-02-11,No,0.24
ENG00000151,MEM000809,2024-12-16,3,46,0,4,69.0,2024-12-04,No,0.31
ENG00000152,MEM001520,2024-07-13,12,24,5,4,100.0,2024-06-18,No,0.0
ENG00000153,MEM000537,2024-03-24,13,34,9,2,100.0,2024-03-21,No,0.0
ENG00000154,MEM000572,2024-03-18,6,42,13,1,100.0,2024-03-07,No,0.0
ENG00000155,MEM002489,2024-06-12,7,36,1,8,100.0,2024-05-16,No,0.0
ENG00000156,MEM000495,2024-09-26,30,23,14,5,100.0,2024-09-01,No,0.0
ENG00000157,MEM001802,2024-08-17,11,5,2,1,44.5,2024-08-15,No,0.56
ENG00000158,MEM001688,2024-01-27,4,2,0,2,29.0,2024-01-25,No,0.71
ENG00000159,MEM000122,2024-01-27,28,5,14,5,100.0,2024-01-09,No,0.0
ENG00000160,MEM001821,2024-12-12,6,12,2,3,58.0,2024-11-29,No,0.42
ENG00000161,MEM000566,2024-11-26,3,38,6,8,100.0,2024-11-09,No,0.0
ENG00000162,MEM001857,2024-07-20,4,50,12,6,100.0,2024-07-07,No,0.0
ENG00000163,MEM001769,2024-01-29,18,33,5,4,100.0,2024-01-29,No,0.0
ENG00000164,MEM000979,2024-09-15,8,27,14,3,100.0,2024-09-06,No,0.0
ENG00000165,MEM000576,2024-06-22,30,41,4,2,100.0,2024-06-08,No,0.0
ENG00000166,MEM001122,2024-10-10,8,9,15,6,100.0,2024-09-27,No,0.0
ENG00000167,MEM001824,2024-11-27,7,50,11,4,100.0,2024-11-04,No,0.0
ENG00000168,MEM000981,2024-09-23,23,1,14,4,100.0,2024-09-20,No,0.0
ENG00000169,MEM001541,2024-02-19,18,46,10,7,100.0,2024-01-20,No,0.0
ENG00000170,MEM000605,2024-08-14,19,47,12,8,100.0,2024-07-16,No,0.0
ENG00000171,MEM000031,2024-11-01,6,45,13,2,100.0,2024-10-29,No,0.0
ENG00000172,MEM001324,2024-12-04,30,32,9,7,100.0,2024-12-01,No,0.0
ENG00000173,MEM002345,2024-09-02,3,4,15,7,100.0,2024-08-07,No,0.0
ENG00000174,MEM001973,2024-10-12,15,21,1,6,100.0,2024-09-30,No,0.0
ENG00000175,MEM000014,2024-07-29,19,46,12,6,100.0,2024-07-13,No,0.0
ENG00000176,MEM001375,2024-06-10,12,24,1,5,91.0,2024-05-23,No,0.09
ENG00000177,MEM000206,2024-09-18,4,33,1,1,39.5,2024-08-30,No,0.6
ENG00000178,MEM001365,2024-08-23,8,40,14,5,100.0,2024-08-18,No,0.0
ENG00000179,MEM001087,2024-03-05,1,9,1,3,41.5,2024-02-29,No,0.58
ENG00000180,MEM001314,2024-07-18,9,23,0,6,89.5,2024-07-02,No,0.1
ENG00000181,MEM001510,2024-08-30,23,39,14,3,100.0,2024-08-24,No,0.0
ENG00000182,MEM000650,2024-05-24,25,10,7,0,90.0,2024-05-14,No,0.1
ENG00000183,MEM002121,2024-10-31,14,41,15,2,100.0,2024-10-19,No,0.0
ENG00000184,MEM000165,2024-03-31,27,24,6,2,100.0,2024-03-13,No,0.0
ENG00000185,MEM001017,2024-10-13,5,18,15,8,100.0,2024-10-04,No,0.0
ENG00000186,MEM001784,2024-05-09,13,18,4,8,100.0,2024-04-21,No,0.0
ENG00000187,MEM000186,2024-07-26,21,5,12,1,100.0,2024-07-15,No,0.0
ENG00000188,MEM001159,2024-08-29,1,41,9,7,100.0,2024-08-27,No,0.0
ENG00000189,MEM002149,2024-03-09,19,19,12,7,100.0,2024-03-06,No,0.0
ENG00000190,MEM000412,2024-07-09,3,14,6,1,53.0,2024-06-29,No,0.47
ENG00000191,MEM001209,2024-09-04,20,4,15,4,100.0,2024-08-15,No,0.0
ENG00000192,MEM000972,2024-08-20,6,36,9,1,85.0,2024-08-05,No,0.15
ENG00000193,MEM000852,2024-07-14,6,44,10,2,100.0,2024-07-07,No,0.0
ENG00000194,MEM001804,2024-06-25,5,13,5,3,71.5,2024-06-11,No,0.28
ENG00000195,MEM000047,2024-07-22,16,37,14,2,100.0,2024-06-26,No,0.0
ENG00000196,MEM000785,2024-01-02,7,37,8,3,100.0,2023-12-18,No,0.0
ENG00000197,MEM000301,2024-01-22,20,44,5,0,87.0,2024-01-13,No,0.13
ENG00000198,MEM000480,2024-11-14,29,1,8,3,100.0,2024-10-19,No,0.0
ENG00000199,MEM000217,2024-09-20,10,40,8,0,80.0,2024-09-07,No,0.2
ENG00000200,MEM000230,2024-08-05,17,35,15,0,100.0,2024-07-07,No,0.0
ENG00000201,MEM000357,2024-03-07,23,24,9,8,100.0,2024-02-21,No,0.0
ENG00000202,MEM000717,2024-07-03,14,9,11,2,100.0,2024-06-10,No,0.0
ENG00000203,MEM001515,2024-05-09,24,8,9,2,100.0,2024-05-05,No,0.0
ENG00000204,MEM000995,2024-10-30,18,48,8,2,100.0,2024-10-07,No,0.0
ENG00000205,MEM001858,2024-04-14,15,37,1,4,93.5,2024-03-16,No,0.07
ENG00000206,MEM000587,2024-10-03,30,43,12,8,100.0,2024-09-22,No,0.0
ENG00000207,MEM001692,2024-04-03,9,42,9,8,100.0,2024-03-13,No,0.0
ENG00000208,MEM001792,2024-06-10,21,40,12,2,100.0,2024-06-05,No,0.0
ENG00000209,MEM002388,2024-11-15,24,22,8,3,100.0,2024-10-24,No,0.0
ENG00000210,MEM001153,2024-01-31,6,48,13,1,100.0,2024-01-06,No,0.0
ENG00000211,MEM002391,2024-02-08,21,8,7,1,91.0,2024-02-05,No,0.09
ENG00000212,MEM001820,2024-05-15,17,0,15,4,100.0,2024-05-04,No,0.0
ENG00000213,MEM001136,2024-09-17,28,4,10,1,100.0,2024-08-20,No,0.0
ENG00000214,MEM002091,2024-07-30,7,14,13,6,100.0,2024-07-23,No,0.0
ENG00000215,MEM000153,2024-09-03,5,37,13,8,100.0,2024-08-21,No,0.0
ENG00000216,MEM000410,2024-02-13,23,10,14,0,100.0,2024-01-29,No,0.0
ENG00000217,MEM000991,2024-11-20,3,3,13,1,82.5,2024-11-06,No,0.17
ENG00000218,MEM001507,2024-05-25,25,47,9,8,100.0,2024-05-22,No,0.0
ENG00000219,MEM001764,2024-05-24,20,28,10,3,100.0,2024-05-01,No,0.0
ENG00000220,MEM001638,2024-02-19,8,36,11,5,100.0,2024-02-13,No,0.0
ENG00000221,MEM002084,2024-08-25,12,33,13,8,100.0,2024-08-24,No,0.0
ENG00000222,MEM001490,2024-09-06,28,8,9,5,100.0,2024-08-15,No,0.0
ENG00000223,MEM001050,2024-03-30,11,17,0,5,80.5,2024-03-19,No,0.2
ENG00000224,MEM000754,2024-01-17,26,29,6,8,100.0,2023-12-18,No,0.0
ENG00000225,MEM000861,2024-05-15,20,37,9,3,100.0,2024-04-16,No,0.0
ENG00000226,MEM001510,2024-02-05,7,20,13,5,100.0,2024-01-12,No,0.0
ENG00000227,MEM001660,2024-06-23,11,0,13,6,100.0,2024-05-27,No,0.0
ENG00000228,MEM002409,2024-12-16,15,5,14,2,100.0,2024-11-20,No,0.0
ENG00000229,MEM002149,2024-08-29,4,44,7,6,100.0,2024-08-13,No,0.0
ENG00000230,MEM001863,2024-04-17,30,16,6,1,100.0,2024-03-29,No,0.0
ENG00000231,MEM000181,2024-12-10,18,30,5,8,100.0,2024-11-14,No,0.0
ENG00000232,MEM000154,2024-08-20,24,37,7,7,100.0,2024-08-04,No,0.0
ENG00000233,MEM001117,2024-08-31,0,40,10,8,100.0,2024-08-26,No,0.0
ENG00000234,MEM001797,2024-07-19,20,38,11,8,100.0,2024-07-07,No,0.0
ENG00000235,MEM000850,2024-06-22,23,19,4,6,100.0,2024-06-19,No,0.0
ENG00000236,MEM000344,2024-01-14,8,39,0,3,65.5,2024-01-02,No,0.34
ENG00000237,MEM001708,2024-02-05,1,48,5,1,61.0,2024-01-24,No,0.39
ENG00000238,MEM002305,2024-07-15,7,46,13,4,100.0,2024-07-03,No,0.0
ENG00000239,MEM000340,2024-12-01,1,50,13,3,100.0,2024-11-10,No,0.0
ENG00000240,MEM001068,2024-04-28,7,31,1,8,100.0,2024-04-11,No,0.0
ENG00000241,MEM000971,2024-02-05,7,17,11,5,100.0,2024-01-27,No,0.0
ENG00000242,MEM000508,2024-11-22,24,10,9,4,100.0,2024-10-28,No,0.0
ENG00000243,MEM000933,2024-01-09,21,25,11,2,100.0,2023-12-23,No,0.0
ENG00000244,MEM002184,2024-10-08,20,22,12,4,100.0,2024-09-29,No,0.0
ENG00000245,MEM000073,2024-06-11,13,20,4,1,66.0,2024-05-24,No,0.34
ENG00000246,MEM000895,2024-10-22,22,34,2,3,100.0,2024-10-13,No,0.0
ENG00000247,MEM002132,2024-12-03,7,18,3,1,48.0,2024-11-10,No,0.52
ENG00000248,MEM001771,2024-06-25,8,11,13,8,100.0,2024-06-08,No,0.0
ENG00000249,MEM001996,2024-07-09,9,18,3,6,100.0,2024-06-26,No,0.0
ENG00000250,MEM000975,2024-02-01,1,20,13,3,100.0,2024-01-03,No,0.0
ENG00000251,MEM000009,2024-04-21,4,29,10,4,100.0,2024-04-14,No,0.0
ENG00000252,MEM002010,2024-07-24,29,9,9,2,100.0,2024-07-22,No,0.0
ENG00000253,MEM002299,2024-01-25,30,9,13,8,100.0,2024-01-07,No,0.0
ENG00000254,MEM002067,2024-01-15,7,8,3,1,43.0,2024-01-08,No,0.57
ENG00000255,MEM000299,2024-04-20,20,48,2,6,100.0,2024-04-05,No,0.0
ENG00000256,MEM001918,2024-12-04,22,50,3,8,100.0,2024-11-20,No,0.0
ENG00000257,MEM000548,2024-07-03,8,48,8,4,100.0,2024-07-01,No,0.0
ENG00000258,MEM002406,2024-09-26,19,31,12,0,100.0,2024-09-10,No,0.0
ENG00000259,MEM000857,2024-11-29,23,42,9,3,100.0,2024-11-20,No,0.0
ENG00000260,MEM000031,2024-04-16,29,3,14,4,100.0,2024-04-10,No,0.0
ENG00000261,MEM001750,2024-01-06,6,14,8,3,89.0,2023-12-17,No,0.11
ENG00000262,MEM001019,2024-07-11,3,35,10,5,100.0,2024-06-27,No,0.0
ENG00000263,MEM000546,2024-10-05,16,33,14,5,100.0,2024-09-29,No,0.0
ENG00000264,MEM002045,2024-04-13,21,19,7,8,100.0,2024-03-15,No,0.0
ENG00000265,MEM001193,2024-12-08,9,31,6,6,100.0,2024-11-17,No,0.0
ENG00000266,MEM000952,2024-05-28,29,29,11,0,100.0,2024-04-30,No,0.0
ENG00000267,MEM000545,2024-08-10,12,30,13,6,100.0,2024-07-30,No,0.0
ENG00000268,MEM001004,2024-03-17,9,16,2,5,86.0,2024-03-02,No,0.14
ENG00000269,MEM000430,2024-05-14,27,48,15,2,100.0,2024-05-11,No,0.0
ENG00000270,MEM000620,2024-01-30,12,30,8,8,100.0,2024-01-05,No,0.0
ENG00000271,MEM000384,2024-05-13,7,11,7,1,64.5,2024-05-06,No,0.35
ENG00000272,MEM000290,2024-04-28,22,49,8,6,100.0,2024-04-28,No,0.0
ENG00000273,MEM002300,2024-07-09,26,2,7,4,100.0,2024-06-15,No,0.0
ENG00000274,MEM000830,2024-07-28,28,40,1,3,100.0,2024-07-04,No,0.0
ENG00000275,MEM002111,2024-06-09,7,13,9,1,75.5,2024-05-23,No,0.24
ENG00000276,MEM001541,2024-11-25,14,25,0,8,100.0,2024-11-11,No,0.0
ENG00000277,MEM001900,2024-08-23,7,14,15,4,100.0,2024-08-18,No,0.0
ENG00000278,MEM001418,2024-12-11,11,16,3,8,100.0,2024-11-23,No,0.0
ENG00000279,MEM001473,2024-10-12,11,26,7,5,100.0,2024-09-23,No,0.0
ENG00000280,MEM000802,2024-10-13,19,39,1,3,92.5,2024-09-14,No,0.07
ENG00000281,MEM000957,2024-05-29,28,33,4,6,100.0,2024-05-07,No,0.0
ENG00000282,MEM000422,2024-08-30,0,38,13,6,100.0,2024-08-27,No,0.0
ENG00000283,MEM000283,2024-11-30,1,31,6,3,77.5,2024-11-05,No,0.23
ENG00000284,MEM001168,2024-01-11,0,27,13,6,100.0,2023-12-31,No,0.0
ENG00000285,MEM000549,2024-04-19,3,14,4,4,73.0,2024-04-07,No,0.27
ENG00000286,MEM000568,2024-02-20,3,27,0,5,69.5,2024-02-02,No,0.3
ENG00000287,MEM001423,2024-06-29,17,25,3,7,100.0,2024-06-18,No,0.0
ENG00000288,MEM001968,2024-05-10,1,37,6,6,100.0,2024-04-14,No,0.0
ENG00000289,MEM000419,2024-06-29,19,47,6,4,100.0,2024-06-24,No,0.0
ENG00000290,MEM001388,2024-12-04,8,4,0,2,38.0,2024-11-16,No,0.62
ENG00000291,MEM000517,2024-10-17,14,9,3,1,57.5,2024-10-09,No,0.42
ENG00000292,MEM001626,2024-07-19,25,13,1,8,100.0,2024-07-07,No,0.0
ENG00000293,MEM001002,2024-03-06,2,7,8,7,100.0,2024-02-08,No,0.0
ENG00000294,MEM002014,2024-05-27,11,46,3,5,100.0,2024-04-28,No,0.0
ENG00000295,MEM001105,2024-01-05,12,15,7,4,100.0,2023-12-11,No,0.0
ENG00000296,MEM002415,2024-03-08,21,50,3,7,100.0,2024-02-08,No,0.0
ENG00000297,MEM002257,2024-09-22,28,2,6,2,100.0,2024-09-04,No,0.0
ENG00000298,MEM001974,2024-07-17,6,11,0,8,97.5,2024-07-16,No,0.03
ENG00000299,MEM002103,2024-05-11,16,19,10,3,100.0,2024-04-23,No,0.0
ENG00000300,MEM001622,2024-08-30,4,39,14,7,100.0,2024-08-15,No,0.0
ENG00000301,MEM000111,2024-05-09,19,27,13,8,100.0,2024-04-11,No,0.0
ENG00000302,MEM000103,2024-01-04,14,45,9,3,100.0,2024-01-04,No,0.0
ENG00000303,MEM001255,2024-10-16,1,25,1,6,79.5,2024-10-06,No,0.2
ENG00000304,MEM000016,2024-04-21,16,3,11,5,100.0,2024-03-22,No,0.0
ENG00000305,MEM000235,2024-09-28,19,13,8,0,84.5,2024-09-10,No,0.15
ENG00000306,MEM000770,2024-06-10,12,22,10,5,100.0,2024-05-12,No,0.0
ENG00000307,MEM000292,2024-03-18,4,9,15,2,100.0,2024-03-02,No,0.0
ENG00000308,MEM002390,2024-12-03,1,12,2,6,78.0,2024-11-03,No,0.22
