name,type,muscle,difficulty,instructions,equipments,safety_info
Hip Circles (Prone),stretching,abductors,intermediate,"Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position. Keeping the knee in a bent position, rotate the femur in an arc, attempting to make a big circle with your knee. Perform this slowly for a number of repetitions, and repeat on the other side.",[],"Maintain good posture with a neutral spine and keep the knee bent throughout. Perform the circles slowly and in control, staying within a comfortable range of motion. Avoid arching or twisting the lower back, and stop if you feel pain or discomfort."
Standing hip circle,stretching,abductors,intermediate,"Brace yourself a couple of feet back from a sturdy object and stand on one foot, knee unlocked and leaning forward slightly. Standing on one leg, lift up on to your toes while keeping your other foot off the ground. This will be your starting position. In a circular motion, rotate your entire leg both forwards and backwards for a number of repetitions to loosen up the hips. Keep your foot off the floor the entire time. Repeat for the opposite side.","['sturdy chair', 'wall']",Perform near a sturdy support to prevent falls. Keep the standing knee unlocked and control the motion; avoid forcing large circles or moving into pain.
Lateral Band Walk,strength,abductors,intermediate,"Position a band around your lower legs. The resistance can be applied closer to the knees for an easier movement or around the ankles or feet for a more advanced movement. With the band in place, assume an athletic standing position, with the knees and hips slightly bent, feet shoulder-width apart, and the head and chest up. This will be your starting position. Staying low, take a slow, lateral step. Keep your toes pointed forward and stay low. After completing the step, follow with the opposite leg. Step slowly, resisting the band. Keep the feet at least shoulder width apart to maintain band tension. Continue to laterally step in this manner to complete the set for the desired number of repetitions before switching to walk in the opposite direction.",['loop resistance band'],"Choose band placement appropriate to your level (around knees easier, ankles/feet harder). Maintain an athletic posture with head and chest up, hips and knees slightly bent, and toes pointed forward. Step slowly under control, keeping feet at least shoulder-width apart to maintain band tension, and avoid knees collapsing inward or rounding the back."
Dynamic pigeon stretch,strength,abductors,intermediate,,[],"Intermediate-level dynamic hip stretch: move slowly and with control—no bouncing or forcing end range. Keep the front knee comfortable and aligned (avoid twisting/torquing), hips as square as comfortable, and stop if you feel knee or sharp hip pain. Warm up first and modify/skip if you have hip or knee issues."
Cross-over jack,strength,abductors,intermediate,,[],"Intermediate, bodyweight jumping‑jack variation—ensure clear space and a non‑slip surface, warm up, land softly with knees slightly bent and tracking over toes, keep core engaged, and stop if you feel knee/ankle or lower‑back pain; modify to a low‑impact step if impact bothers your joints."
Traveling thigh killa,strength,abductors,intermediate,,[],"Intermediate bodyweight abductor exercise—warm up hips and knees, use a controlled range of motion, keep knees tracking over toes with a neutral spine, perform on a flat non‑slip surface, and stop if you feel pain or instability."
FYR Thigh Killa,strength,abductors,intermediate,,[],"Intermediate, bodyweight abductor work: warm up hips first, keep knees tracking over toes (don’t let them cave in), maintain a neutral spine, and use a controlled pain‑free range. Stop if you feel hip or knee pain or instability."
HM Straddle Stretch,stretching,abductors,intermediate,,[],"Warm up first; ease into the straddle stretch slowly without bouncing and stop at a mild pull in the inner thighs, not pain. Keep a long spine with hips/knees aligned; avoid forcing range or rounding the low back. Breathe steadily and exit gradually to avoid adductor strain; avoid if you have acute hip/groin injuries."
HM Right Leg Swing,stretching,abductors,intermediate,,[],"Perform controlled swings within a comfortable, pain-free range. Keep your core engaged and avoid arching your lower back. Maintain balance (use a stable support if needed). Warm up first, ensure clear space around you, and stop if you feel sharp pain."
HM Right Side-Kick,stretching,abductors,intermediate,,[],"Warm up first. Perform controlled kicks without forcing range; avoid jerky motions. Maintain balance and a neutral spine—use a stable support if needed. Keep core and hips aligned, and stop if you feel pain."
Thigh adductor,strength,adductors,intermediate,"To begin, sit down on the adductor machine and select a weight you are comfortable with. When your legs are positioned properly on the leg pads of the machine, grip the handles on each side. Your entire upper body (from the waist up) should be stationary. This is the starting position. Slowly press against the machine with your legs to move them towards each other while exhaling. Feel the contraction for a second and begin to move your legs back to the starting position while breathing in. Note: Remember to keep your upper body stationary and avoid fast jerking motions in order to prevent any injuries from occurring. Repeat for the recommended amount of repetitions.",['adductor machine'],"Select a comfortable weight and adjust the pads properly. Keep your upper body stationary, move slowly with control (no jerking), and breathe—exhale while pressing the legs together and inhale on the return."
Lateral cone hop,plyometrics,adductors,intermediate,"Position a number of cones in a row several feet apart. Stand next to the end of the cones, facing 90 degrees to the direction of travel. This will be your starting position. Begin the jump by dipping with the knees to initiate a stretch reflex, and immediately reverse direction to push off the ground, jumping up and sideways over the cone. Use your legs to absorb impact upon landing, and rebound into the next jump, continuing down the row of cones.",['cones'],"Warm up and use a clear, flat surface. Land softly with bent knees to absorb impact, keeping knees over toes. Start with low cones and only rebound if you can control each landing; progress gradually (intermediate plyometric, high impact). Stop if you feel knee or ankle pain."
Lateral box jump,plyometrics,adductors,intermediate,"Assume a comfortable standing position, with a short box positioned next to you. This will be your starting position. Quickly dip into a quarter squat to initiate the stretch reflex, and immediately reverse direction to jump up and to the side. Bring your knees high enough to ensure your feet have good clearance over the box. Land on the center of the box, using your legs to absorb the impact. Carefully jump down to the other side of the box, and continue going back and forth for several repetitions.",['short box'],"Intermediate plyometric: ensure your feet clear the box, land on the center with soft knees to absorb impact, and carefully jump down; maintain control to avoid missteps or joint strain."
Side-To-Side Adductor Stretch,strength,adductors,intermediate,,[],Warm up first. Ease into the stretch without bouncing and do not push into pain. Keep knees tracking over toes and spine neutral as you shift side to side; avoid the knee collapsing inward. Use a shorter stance or support if balance is an issue.
Groiners,stretching,adductors,beginner,"Begin in a pushup position on the floor. This will be your starting position. Using both legs, jump forward landing with your feet next to your hands. Keep your head up as you do so. Return to the starting position and immediately repeat the movement, continuing for 10-20 repetitions.",[],"Move under control from a stable push-up position; keep your head up, brace your core, and land softly with feet near your hands. Avoid rounding your back; if impact or wrist/hip discomfort occurs, step the feet up instead of jumping and reduce reps."
HM Left Leg Swing,strength,adductors,intermediate,,[],"Warm up the hips/adductors first; perform controlled swings in a pain‑free range, keep an upright posture with core engaged, use a stable support if balance is uncertain, and stop if you feel groin or hip pain."
UNS Foam Roll Adductor,strength,adductors,intermediate,,['foam roller'],"Use controlled pressure on the inner thigh; avoid rolling over the knee or groin. Move slowly, breathe, and stop if sharp pain or numbness occurs. Reduce pressure or skip if you have an acute adductor/groin injury."
Band Hip Adductions,strength,adductors,beginner,"Anchor a band around a solid post or other object. Stand with your left side to the post, and put your right foot through the band, getting it around the ankle. Stand up straight and hold onto the post if needed. This will be your starting position. Keeping the knee straight, raise your right legs out to the side as far as you can. Return to the starting position and repeat for the desired rep count. Switch sides.","['resistance band', 'solid post']","Secure the band to a solid, stable post and hold it for balance if needed. Keep the working knee straight and control the movement both out and back to avoid band snap-back or losing balance."
Side-lying leg adduction scissor,strength,adductors,intermediate,,[],"Warm up thoroughly and perform on a firm, comfortable surface. Keep hips stacked and spine neutral, move in a slow, controlled range without swinging, support the head/neck as needed, breathe continuously, and stop if you feel pain in the inner thigh/groin or lower back."
Side Leg Raises,stretching,adductors,beginner,"Stand next to a chair, which you may hold onto as a support. Stand on one leg. This will be your starting position. Keeping your leg straight, raise it as far out to the side as possible, and swing it back down, allowing it to cross the opposite leg. Repeat this swinging motion 5-10 times, increasing the range of motion as you do so.",['chair'],"Use a chair for balance and perform controlled swings. Keep your torso upright and leg straight, increase range gradually, and stop if you feel pain or lose balance."
Incline Hammer Curls,strength,biceps,beginner,"Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position. Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary. Continue to the top of the movement and pause, then slowly return to the start position.","['dumbbells', 'incline bench']","Keep your back firmly against the incline bench with feet together; keep upper arms stationary and move only at the elbows. Lift and lower under control without swinging, use a manageable weight, and avoid locking the elbows or arching your back."
Wide-grip barbell curl,strength,biceps,beginner,"Stand up with your torso upright while holding a barbell at the wide outer handle. The palm of your hands should be facing forward. The elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.  Variations:  You can also perform this movement using an E-Z bar or E-Z attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement. You may also use the closer grip for variety purposes.",['barbell'],"Stand upright with elbows kept close to the torso and upper arms stationary; only the forearms should move. Control the weight, especially on the descent, and coordinate breathing (exhale while curling, inhale while lowering)."
Hammer Curls,strength,biceps,intermediate,"Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso. The palms of the hands should be facing your torso. This will be your starting position. Now, while holding your upper arm stationary, exhale and curl the weight forward while contracting the biceps. Continue to raise the weight until the biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief moment as you squeeze the biceps. Tip: Focus on keeping the elbow stationary and only moving your forearm. After the brief pause, inhale and slowly begin the lower the dumbbells back down to the starting position. Repeat for the recommended amount of repetitions.  Variations: There are many possible variations for this movement. For instance, you can perform the exercise sitting down on a bench with or without back support and you can also perform it by alternating arms; first lift the right arm for one repetition, then the left, then the right, etc.",['dumbbells'],"Stand upright with elbows kept close to your sides and wrists neutral; move only the forearms. Avoid swinging or arching your back, control the lowering phase, and use a weight you can lift with good form. Exhale while curling and inhale while lowering."
EZ-Bar Curl,strength,biceps,intermediate,"Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position. Now, while keeping your upper arms stationary, exhale and curl the weights forward while contracting the biceps. Focus on only moving your forearms. Continue to raise the weight until your biceps are fully contracted and the bar is at shoulder level. Hold the top contracted position for a moment and squeeze the biceps. Then inhale and slowly lower the bar back to the starting position. Repeat for the recommended amount of repetitions.  Variations: You can also perform this movement using an E-Z attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement. You may also use the closer grip for variety purposes.",['ez curl bar'],"Stand upright with a stable torso, keep elbows close to your sides, and keep your upper arms fixed—only the forearms move. Avoid swinging or leaning back; control the weight, especially on the way down. Exhale as you curl and inhale as you lower."
Zottman Curl,strength,biceps,intermediate,"Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. Make sure the palms of the hands are facing each other. This will be your starting position. While holding the upper arm stationary, curl the weights while contracting the biceps as you breathe out. Only the forearms should move. Your wrist should rotate so that you have a supinated (palms up) grip. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Now during the contracted position, rotate your wrist until you now have a pronated (palms facing down) grip with the thumb at a higher position than the pinky. Slowly begin to bring the dumbbells back down using the pronated grip. As the dumbbells close your thighs, start rotating the wrist so that you go back to a neutral (palms facing your body) grip. Repeat for the recommended amount of repetitions.",['dumbbells'],"Stand upright with a neutral spine, keep elbows close and upper arms stationary, and rotate wrists smoothly between neutral/supinated/pronated grips to avoid strain. Use a manageable weight, avoid swinging or using momentum, control the lowering phase, and breathe steadily (exhale on the curl)."
Barbell Curl,strength,biceps,intermediate,"Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.  Variations:  You can also perform this movement using a straight bar attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement. You may also use the closer grip for variety purposes.",['barbell'],"Stand upright with elbows close to your torso and use a shoulder‑width underhand grip. Only the forearms should move—avoid swinging or using momentum. Curl up while exhaling, then lower the bar slowly under control while inhaling."
EZ-bar spider curl,strength,biceps,intermediate,Start out by setting the bar on the part of the preacher bench that you would normally sit on. Make sure to align the barbell properly so that it is balanced and will not fall off. Move to the front side of the preacher bench (the part where the arms usually lay) and position yourself to lay at a 45 degree slant with your torso and stomach pressed against the front side of the preacher bench. Make sure that your feet (especially the toes) are well positioned on the floor and place your upper arms on top of the pad located on the inside part of the preacher bench. Use your arms to grab the barbell with a supinated grip (palms facing up) at about shoulder width apart or slightly closer from each other. Slowly begin to lift the barbell upwards and exhale. Hold the contracted position for a second as you squeeze the biceps. Slowly begin to bring the barbell back to the starting position as your breathe in. . Repeat for the recommended amount of repetitions.  Variation: You can also use dumbbells when performing this exercise. Just make sure you place the dumbbells on the part of the preacher bench where you would normally sit properly.,"['barbell', 'preacher bench']","Balance the bar on the preacher bench so it won’t fall, keep your feet firmly planted and your upper arms on the pad, and lift and lower the barbell slowly with control while maintaining a supinated shoulder‑width grip and proper breathing."
Biceps curl to shoulder press,strength,biceps,beginner,"Begin in a standing position with a dumbbell in each hand. Your arms should be hanging at your sides with your palms facing forward. Look directly ahead, keeping your chest up, with your feet shoulder-width apart. This will be your starting position. Initiate the movement by flexing the elbows to curl the weight. Do not use momentum or flex through the shoulder, instead use a controlled motion. Execute the pressing movement by extending the arm, flexing and abducting the shoulder to rotate the arm as you press above your head. Pause at the top of the motion before reversing the movement to return to the starting position. Complete the desired number of repetitions before switching to the opposite side.",['dumbbells'],"Beginner: choose a manageable weight. Use a controlled motion—do not use momentum or flex through the shoulder during the curl; keep chest up and feet shoulder-width. Press overhead with control, rotate as instructed, pause at the top, then reverse the movement under control."
Concentration curl,strength,biceps,intermediate,"Sit down on a flat bench with one dumbbell in front of you between your legs. Your legs should be spread with your knees bent and feet on the floor. Use your right arm to pick the dumbbell up. Place the back of your right upper arm on the top of your inner right thigh. Rotate the palm of your hand until it is facing forward away from your thigh. Tip: Your arm should be extended and the dumbbell should be above the floor. This will be your starting position. While holding the upper arm stationary, curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Tip: At the top of the movement make sure that the little finger of your arm is higher than your thumb. This guarantees a good contraction. Hold the contracted position for a second as you squeeze the biceps. Slowly begin to bring the dumbbells back to starting position as your breathe in. Caution: Avoid swinging motions at any time. Repeat for the recommended amount of repetitions. Then repeat the movement with the left arm.  Variations: This exercise can be performed standing with the torso bent forward and the arm in front of you. In this case, no leg support is used for the back of your arm so you will need to make extra effort to ensure no movement of the upper arm. This is a more challenging version of the exercise and is not recommended for people with lower back issues.","['dumbbell', 'flat bench']",Use a controlled motion without swinging; keep the upper arm braced on the inner thigh so only the forearm moves. Breathe out on the curl and in on the lowering. Avoid the standing variation if you have lower back issues.
Flexor Incline Dumbbell Curls,strength,biceps,beginner,"Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl, but keep your wrists as far back as possible so as to neutralize any stress that is placed on them. Sit on an incline bench that is angled at 45-degrees while holding a dumbbell on each hand. Let your arms hang down on your sides, with the elbows in, and turn the palms of your hands forward with the thumbs pointing away from the body. Tip: You will keep this hand position throughout the movement as there should not be any twisting of the hands as they come up. This will be your starting position. Curl up the two dumbbells at the same time until your biceps are fully contracted and exhale. Tip: Do not swing the arms or use momentum. Keep a controlled motion at all times. Hold the contracted position for a second at the top. As you inhale, slowly go back to the starting position. Repeat for the recommended amount of repetitions.  Caution: Do not extend your arms totally as you could injure your elbows if you hyperextend them. Also, make sure that on the way down you move slowly to avoid injury. Variations: You can use cables for this movement as well.","['dumbbells', 'incline bench']","Set the bench around 45°. Keep wrists neutral/back and avoid twisting; keep elbows in and don’t swing. Lower the weights slowly under control, and do not lock out or hyperextend the elbows at the bottom to avoid injury."
Smith Machine Calf Raise,strength,calves,intermediate,"Place a block or weight plate below the bar on the Smith machine. Set the bar to a position that best matches your height. Once the correct height is chosen and the bar is loaded, step onto the plates with the balls of your feet and place the bar on the back of your shoulders. Take the bar with both hands facing forward. Rotate the bar to unrack it. This will be your starting position. Raise your heels as high as possible by pushing off of the balls of your feet, flexing your calf at the top of the contraction. Your knees should remain extended. Hold the contracted position for a second before you start to go back down. Return slowly to the starting position as you breathe in while lowering your heels. Repeat for the recommended amount of repetitions.","['smith machine', 'block', 'weight plates']","Set the Smith bar to an appropriate height, step onto a stable block/plate with the balls of your feet, keep knees extended, and unrack/rerack with control. Raise heels fully and lower slowly while maintaining balance and breathing in on the descent."
Standing Calf Raises,strength,calves,beginner,"Adjust the padded lever of the calf raise machine to fit your height. Place your shoulders under the pads provided and position your toes facing forward (or using any of the two other positions described at the beginning of the chapter). The balls of your feet should be secured on top of the calf block with the heels extending off it. Push the lever up by extending your hips and knees until your torso is standing erect. The knees should be kept with a slight bend; never locked. Toes should be facing forward, outwards or inwards as described at the beginning of the chapter. This will be your starting position. Raise your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down. Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched. Repeat for the recommended amount of repetitions.  Caution: If you suffer from lower back problems, a better exercise is the calf press as during a standing calf raise the back has to support the weight being lifted. Also, maintain your back straight and stationary at all times. Rounding of the back can cause lower back injury. Variations: There are several other ways to perform a standing calf raise. A barbell instead of a machine can be used instead as well as dumbbells, one leg or two legs at a time. Refer to the exercise descriptions of these movements below. A smith machine can be used for calf raises as well.",['calf raise machine'],"Keep knees slightly bent (never locked) and stationary; maintain a straight, stationary back—do not round. Use controlled reps through ankle motion only. If you have lower-back issues, avoid standing calf raises and consider a calf press instead."
Standing Dumbbell Calf Raise,strength,calves,intermediate,"Stand with your torso upright holding two dumbbells in your hands by your sides. Place the ball of the foot on a sturdy and stable wooden board (that is around 2-3 inches tall) while your heels extend off and touch the floor. This will be your starting position. With the toes pointing either straight (to hit all parts equally), inwards (for emphasis on the outer head) or outwards (for emphasis on the inner head), raise the heels off the floor as you exhale by contracting the calves. Hold the top contraction for a second. As you inhale, go back to the starting position by slowly lowering the heels. Repeat for the recommended amount of times.  Note: As you become stronger you may need to use wrist wraps to avoid having the dumbbells slip out of your hands.","['dumbbells', 'wooden board']","Use a sturdy, non-slip wooden board and keep your torso upright. Raise and lower the heels slowly without bouncing to protect the ankles/Achilles, and keep feet aligned to avoid ankle roll. Maintain balance and a secure grip on the dumbbells; consider wrist wraps if your grip starts to slip."
Seated Single-Leg Calf Press - Gethin Variation,strength,calves,intermediate,,['seated calf press machine'],"Adjust the seat and pads for a secure fit. Keep the ball of your foot on the platform and use a controlled range—no bouncing. Do not lock the knee; maintain a neutral spine. Start with moderate load since single-leg work increases stress, and stop if you feel Achilles or ankle pain."
Seated Calf Raise - Gethin Variation,strength,calves,intermediate,,['seated calf raise machine'],"Adjust the seat and thigh pad so the knees are bent and the pad is snug; place the balls of your feet on the platform with heels free. Use a controlled tempo without bouncing, avoid overloading, and don’t let ankles collapse inward. Keep a neutral spine and stop if you feel sharp Achilles or ankle pain."
Agility Ladder,cardio,calves,intermediate,,['agility ladder'],"Lay the ladder flat on a clear, non-slip surface to prevent tripping. Warm up ankles/calves and start slow before increasing speed. Use light, quick steps with soft knees; reduce impact if you have ankle/Achilles issues and stop if you feel pain or lose balance."
Donkey Calf Raise - Gethin Variation,strength,calves,intermediate,,['donkey calf raise machine'],"Adjust the machine to fit, keep a neutral spine with a slight knee bend, control the movement without bouncing at the bottom, avoid excessive stretch or locking out, and use a conservative load to protect the ankles/Achilles and lower back."
Dumbbell Bench Press,strength,chest,intermediate,"Lie down on a flat bench with a dumbbell in each hand resting on top of your thighs. The palms of your hands will be facing each other. Then, using your thighs to help raise the dumbbells up, lift the dumbbells one at a time so that you can hold them in front of you at shoulder width. Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. The dumbbells should be just to the sides of your chest, with your upper arm and forearm creating a 90 degree angle. Be sure to maintain full control of the dumbbells at all times. This will be your starting position. Then, as you breathe out, use your chest to push the dumbbells up. Lock your arms at the top of the lift and squeeze your chest, hold for a second and then begin coming down slowly. Tip: Ideally, lowering the weight should take about twice as long as raising it. Repeat the movement for the prescribed amount of repetitions of your training program.  Caution: When you are done, do not drop the dumbbells next to you as this is dangerous to your rotator cuff in your shoulders and others working out around you. Just lift your legs from the floor bending at the knees, twist your wrists so that the palms of your hands are facing each other and place the dumbbells on top of your thighs. When both dumbbells are touching your thighs simultaneously push your upper torso up (while pressing the dumbbells on your thighs) and also perform a slight kick forward with your legs (keeping the dumbbells on top of the thighs). By doing this combined movement, momentum will help you get back to a sitting position with both dumbbells still on top of your thighs. At this moment you can place the dumbbells on the floor. Variations: Another variation of this exercise is to perform it with the palms of the hands facing each other. Also, you can perform the exercise with the palms facing each other and then twisting the wrist as you lift the dumbbells so that at the top of the movement the palms are facing away from the body. I personally do not use this variation very often as it seems to be hard on my shoulders.","['dumbbells', 'flat bench']","Maintain full control of the weights and lower them slower than you raise them. Do not drop the dumbbells—use the thigh-assisted method to return to a seated position to protect your shoulders and people nearby. Use caution with twisting-grip variations, as they can stress the shoulders."
