nutrition_log_id,member_id,log_date,meal_type,food_id,food_name,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
NL00000032,MEM001463,2024-12-04,Breakfast,FOOD0038,cucumber,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000033,MEM002071,2024-05-13,Snack,FOOD0018,cottage cheese,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00000034,MEM000630,2024-08-05,Post-Workout,FOOD0019,white rice,160.0,208.0,4.3,44.8,0.5,4.5,13.4
NL00000035,MEM002478,2024-09-08,Dinner,FOOD0070,sunflower seeds,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00000036,MEM001511,2024-08-01,Lunch,FOOD0084,honey,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00000037,MEM000750,2024-12-06,Lunch,FOOD0028,potato,290.0,249.4,4.6,58.0,0.3,5.8,17.4
NL00000038,MEM000807,2024-11-02,Breakfast,FOOD0078,butter,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000039,MEM002178,2024-03-24,Breakfast,FOOD0024,whole wheat bread,80.0,96.0,2.4,20.0,0.8,2.0,6.0
NL00000040,MEM001055,2024-06-30,Snack,FOOD0069,pecans,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000041,MEM001126,2024-12-09,Dinner,FOOD0004,steak,120.0,325.2,30.0,0.0,22.8,0.0,0.0
NL00000042,MEM000809,2024-10-25,Lunch,FOOD0058,grapefruit,190.0,114.0,1.0,28.5,0.4,2.8,8.5
NL00000043,MEM000518,2024-09-01,Lunch,FOOD0065,coconut oil,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00000044,MEM000132,2024-09-09,Snack,FOOD0025,white bread,210.0,252.0,6.3,52.5,2.1,5.2,15.8
NL00000045,MEM000188,2024-04-30,Post-Workout,FOOD0070,sunflower seeds,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000046,MEM002317,2024-10-16,Lunch,FOOD0027,sweet potato,260.0,223.6,4.2,52.0,0.3,5.2,15.6
NL00000047,MEM000079,2024-11-24,Dinner,FOOD0051,mango,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000048,MEM000064,2024-09-04,Post-Workout,FOOD0020,brown rice,170.0,190.4,4.4,40.8,1.5,4.1,12.2
NL00000049,MEM000531,2024-02-26,Post-Workout,FOOD0051,mango,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000050,MEM002419,2024-05-02,Dinner,FOOD0001,chicken breast,220.0,363.0,68.2,0.0,7.9,0.0,0.0
NL00000051,MEM000335,2024-05-09,Post-Workout,FOOD0018,cottage cheese,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00000052,MEM000700,2024-05-15,Dinner,FOOD0039,lettuce,300.0,75.0,3.0,15.0,0.6,1.5,4.5
NL00000053,MEM000317,2024-03-12,Dinner,FOOD0051,mango,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000054,MEM001499,2024-02-26,Lunch,FOOD0069,pecans,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000055,MEM000015,2024-12-04,Lunch,FOOD0047,apple,190.0,98.8,0.6,26.6,0.4,2.7,8.0
NL00000056,MEM001080,2024-11-26,Breakfast,FOOD0056,pear,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000057,MEM001409,2024-03-16,Snack,FOOD0002,chicken thigh,280.0,585.2,72.8,0.0,30.8,0.0,0.0
NL00000058,MEM002236,2024-06-08,Lunch,FOOD0049,strawberry,150.0,90.0,0.8,22.5,0.3,2.2,6.8
NL00000059,MEM002492,2024-04-29,Breakfast,FOOD0072,milk,130.0,130.0,3.9,19.5,3.9,2.0,5.9
NL00000060,MEM001396,2024-12-09,Snack,FOOD0064,olive oil,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00000061,MEM002075,2024-03-05,Dinner,FOOD0001,chicken breast,100.0,165.0,31.0,0.0,3.6,0.0,0.0
NL00000062,MEM002119,2024-02-08,Breakfast,FOOD0082,popcorn,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000063,MEM000821,2024-03-13,Lunch,FOOD0060,almonds,210.0,1215.9,44.1,46.2,105.0,4.6,13.9
NL00000064,MEM001976,2024-06-10,Lunch,FOOD0033,spinach,110.0,25.3,3.2,4.0,0.4,0.4,1.2
NL00000065,MEM002324,2024-02-29,Dinner,FOOD0067,flax seeds,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00000066,MEM002232,2024-06-23,Lunch,FOOD0055,peach,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000067,MEM000683,2024-07-03,Post-Workout,FOOD0004,steak,130.0,352.3,32.5,0.0,24.7,0.0,0.0
NL00000068,MEM000078,2024-01-04,Snack,FOOD0054,watermelon,260.0,156.0,1.3,39.0,0.5,3.9,11.7
NL00000069,MEM002004,2024-10-28,Post-Workout,FOOD0041,green beans,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00000070,MEM001246,2024-02-20,Lunch,FOOD0045,mushrooms,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000071,MEM001856,2024-06-04,Lunch,FOOD0072,milk,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000072,MEM002147,2024-04-15,Breakfast,FOOD0068,cashews,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000073,MEM000378,2024-11-15,Post-Workout,FOOD0074,mozzarella,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000074,MEM000105,2024-06-30,Lunch,FOOD0057,kiwi,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00000075,MEM000706,2024-06-08,Snack,FOOD0023,oatmeal,280.0,190.4,6.7,33.6,3.9,3.4,10.1
NL00000076,MEM000562,2024-05-09,Breakfast,FOOD0078,butter,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00000077,MEM001185,2024-12-14,Dinner,FOOD0037,tomato,80.0,20.0,0.8,4.0,0.2,0.4,1.2
NL00000078,MEM000579,2024-01-14,Dinner,FOOD0076,yogurt,240.0,141.6,24.0,8.6,1.0,1.0,2.6
NL00000079,MEM002330,2024-08-13,Breakfast,FOOD0039,lettuce,280.0,70.0,2.8,14.0,0.6,1.4,4.2
NL00000080,MEM002107,2024-11-22,Dinner,FOOD0058,grapefruit,80.0,48.0,0.4,12.0,0.2,1.2,3.6
NL00000081,MEM001288,2024-10-13,Snack,FOOD0049,strawberry,280.0,168.0,1.4,42.0,0.6,4.2,12.6
NL00000082,MEM001964,2024-01-31,Breakfast,FOOD0084,honey,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000083,MEM002135,2024-07-25,Post-Workout,FOOD0054,watermelon,280.0,168.0,1.4,42.0,0.6,4.2,12.6
NL00000084,MEM000727,2024-06-20,Post-Workout,FOOD0082,popcorn,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00000085,MEM001860,2024-10-12,Lunch,FOOD0037,tomato,180.0,45.0,1.8,9.0,0.4,0.9,2.7
NL00000086,MEM000581,2024-10-21,Lunch,FOOD0021,jasmine rice,60.0,72.0,1.8,15.0,0.6,1.5,4.5
NL00000087,MEM002053,2024-10-31,Snack,FOOD0010,cod,170.0,204.0,40.8,0.0,3.4,0.0,0.0
NL00000088,MEM000870,2024-12-03,Dinner,FOOD0046,banana,260.0,231.4,2.9,59.8,0.8,6.0,17.9
NL00000089,MEM002255,2024-08-26,Breakfast,FOOD0079,granola bar,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000090,MEM001427,2024-02-25,Breakfast,FOOD0058,grapefruit,160.0,96.0,0.8,24.0,0.3,2.4,7.2
NL00000091,MEM002319,2024-06-28,Breakfast,FOOD0035,carrots,210.0,52.5,2.1,10.5,0.4,1.0,3.2
NL00000092,MEM001863,2024-11-25,Dinner,FOOD0081,rice cakes,260.0,312.0,7.8,65.0,2.6,6.5,19.5
NL00000093,MEM001093,2024-04-13,Dinner,FOOD0066,chia seeds,260.0,260.0,7.8,39.0,7.8,3.9,11.7
NL00000094,MEM001896,2024-11-23,Breakfast,FOOD0001,chicken breast,230.0,379.5,71.3,0.0,8.3,0.0,0.0
NL00000095,MEM001864,2024-02-20,Snack,FOOD0075,cheddar cheese,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000096,MEM001681,2024-09-28,Dinner,FOOD0038,cucumber,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000097,MEM000287,2024-03-05,Post-Workout,FOOD0083,dark chocolate,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000098,MEM000181,2024-03-19,Post-Workout,FOOD0043,brussels sprouts,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000099,MEM000690,2024-09-20,Breakfast,FOOD0028,potato,260.0,223.6,4.2,52.0,0.3,5.2,15.6
NL00000100,MEM001672,2024-02-16,Snack,FOOD0015,tofu,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00000101,MEM002206,2024-10-31,Snack,FOOD0016,tempeh,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000102,MEM002291,2024-10-12,Breakfast,FOOD0061,walnuts,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000103,MEM002098,2024-05-08,Lunch,FOOD0007,tuna,210.0,277.2,58.8,0.0,2.7,0.0,0.0
NL00000104,MEM001650,2024-11-18,Breakfast,FOOD0031,tortilla,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00000105,MEM001615,2024-07-23,Lunch,FOOD0031,tortilla,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00000106,MEM000258,2024-06-29,Breakfast,FOOD0048,orange,290.0,174.0,1.4,43.5,0.6,4.4,13.0
NL00000107,MEM000814,2024-11-11,Snack,FOOD0027,sweet potato,230.0,197.8,3.7,46.0,0.2,4.6,13.8
NL00000108,MEM002448,2024-02-03,Breakfast,FOOD0034,kale,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000109,MEM001731,2024-04-06,Breakfast,FOOD0081,rice cakes,270.0,324.0,8.1,67.5,2.7,6.8,20.2
NL00000110,MEM000435,2024-10-09,Snack,FOOD0056,pear,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000111,MEM000900,2024-11-16,Snack,FOOD0018,cottage cheese,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000112,MEM000322,2024-04-08,Dinner,FOOD0076,yogurt,140.0,82.6,14.0,5.0,0.6,0.6,1.5
NL00000113,MEM000841,2024-05-29,Snack,FOOD0082,popcorn,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00000114,MEM000269,2024-04-10,Post-Workout,FOOD0006,salmon,100.0,206.0,22.0,0.0,13.0,0.0,0.0
NL00000115,MEM000267,2024-10-31,Dinner,FOOD0064,olive oil,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00000116,MEM001969,2024-11-10,Snack,FOOD0032,broccoli,230.0,78.2,6.4,16.1,0.9,1.6,4.8
NL00000117,MEM001783,2024-09-14,Lunch,FOOD0078,butter,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000118,MEM001448,2024-02-24,Post-Workout,FOOD0054,watermelon,100.0,60.0,0.5,15.0,0.2,1.5,4.5
NL00000119,MEM000951,2024-01-10,Snack,FOOD0036,bell pepper,140.0,35.0,1.4,7.0,0.3,0.7,2.1
NL00000120,MEM000747,2024-01-08,Lunch,FOOD0069,pecans,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00000121,MEM001388,2024-09-07,Breakfast,FOOD0013,turkey breast,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00000122,MEM000706,2024-09-04,Post-Workout,FOOD0001,chicken breast,110.0,181.5,34.1,0.0,4.0,0.0,0.0
NL00000123,MEM001622,2024-02-18,Snack,FOOD0056,pear,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00000124,MEM000676,2024-10-08,Lunch,FOOD0058,grapefruit,250.0,150.0,1.2,37.5,0.5,3.8,11.2
NL00000125,MEM002336,2024-11-17,Breakfast,FOOD0078,butter,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000126,MEM000547,2024-06-28,Breakfast,FOOD0061,walnuts,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000127,MEM000420,2024-03-19,Post-Workout,FOOD0076,yogurt,130.0,76.7,13.0,4.7,0.5,0.5,1.4
NL00000128,MEM002374,2024-03-11,Snack,FOOD0085,maple syrup,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000129,MEM001319,2024-10-01,Lunch,FOOD0002,chicken thigh,150.0,313.5,39.0,0.0,16.5,0.0,0.0
NL00000130,MEM001592,2024-10-16,Lunch,FOOD0006,salmon,200.0,412.0,44.0,0.0,26.0,0.0,0.0
NL00000131,MEM000141,2024-09-12,Snack,FOOD0037,tomato,260.0,65.0,2.6,13.0,0.5,1.3,3.9
NL00000132,MEM000842,2024-01-01,Snack,FOOD0041,green beans,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00000133,MEM001409,2024-09-05,Dinner,FOOD0014,ground turkey,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000134,MEM001093,2024-02-22,Breakfast,FOOD0043,brussels sprouts,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00000135,MEM000614,2024-08-22,Snack,FOOD0030,bagel,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00000136,MEM001483,2024-10-06,Dinner,FOOD0021,jasmine rice,210.0,252.0,6.3,52.5,2.1,5.2,15.8
NL00000137,MEM001225,2024-04-19,Lunch,FOOD0033,spinach,120.0,27.6,3.5,4.3,0.5,0.5,1.3
NL00000138,MEM001421,2024-12-15,Snack,FOOD0009,shrimp,290.0,348.0,69.6,0.0,5.8,0.0,0.0
NL00000139,MEM001650,2024-07-02,Lunch,FOOD0038,cucumber,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000140,MEM000342,2024-07-03,Post-Workout,FOOD0080,protein bar,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00000141,MEM002101,2024-04-29,Lunch,FOOD0061,walnuts,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000142,MEM001947,2024-04-09,Dinner,FOOD0015,tofu,120.0,120.0,3.6,18.0,3.6,1.8,5.4
NL00000143,MEM001658,2024-08-01,Post-Workout,FOOD0030,bagel,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000144,MEM001629,2024-12-02,Lunch,FOOD0085,maple syrup,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00000145,MEM000930,2024-11-03,Dinner,FOOD0053,grapes,120.0,72.0,0.6,18.0,0.2,1.8,5.4
NL00000146,MEM001316,2024-07-10,Breakfast,FOOD0017,protein powder,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00000147,MEM000119,2024-05-07,Breakfast,FOOD0046,banana,190.0,169.1,2.1,43.7,0.6,4.4,13.1
NL00000148,MEM002474,2024-07-31,Snack,FOOD0052,pineapple,70.0,36.4,0.2,9.8,0.1,1.0,2.9
NL00000149,MEM001259,2024-03-08,Post-Workout,FOOD0069,pecans,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00000150,MEM001302,2024-04-05,Dinner,FOOD0074,mozzarella,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000151,MEM001566,2024-08-23,Snack,FOOD0031,tortilla,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000152,MEM001229,2024-06-04,Lunch,FOOD0012,egg whites,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00000153,MEM002486,2024-04-06,Post-Workout,FOOD0048,orange,140.0,84.0,0.7,21.0,0.3,2.1,6.3
NL00000154,MEM002444,2024-09-30,Lunch,FOOD0003,ground beef,170.0,425.0,44.2,0.0,28.9,0.0,0.0
NL00000155,MEM000240,2024-12-15,Snack,FOOD0046,banana,70.0,62.3,0.8,16.1,0.2,1.6,4.8
NL00000156,MEM000666,2024-04-05,Breakfast,FOOD0001,chicken breast,280.0,462.0,86.8,0.0,10.1,0.0,0.0
NL00000157,MEM001629,2024-01-29,Snack,FOOD0033,spinach,210.0,48.3,6.1,7.6,0.8,0.8,2.3
NL00000158,MEM001791,2024-07-21,Breakfast,FOOD0026,pasta,260.0,340.6,13.0,65.0,2.9,6.5,19.5
NL00000159,MEM000418,2024-08-25,Breakfast,FOOD0078,butter,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00000160,MEM001007,2024-06-22,Breakfast,FOOD0054,watermelon,90.0,54.0,0.4,13.5,0.2,1.4,4.0
NL00000161,MEM001913,2024-08-26,Post-Workout,FOOD0026,pasta,160.0,209.6,8.0,40.0,1.8,4.0,12.0
NL00000162,MEM001132,2024-09-21,Snack,FOOD0043,brussels sprouts,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00000163,MEM001610,2024-10-21,Snack,FOOD0015,tofu,270.0,270.0,8.1,40.5,8.1,4.1,12.2
NL00000164,MEM001994,2024-03-02,Breakfast,FOOD0005,pork chop,80.0,200.0,20.8,0.0,13.6,0.0,0.0
NL00000165,MEM001646,2024-09-13,Breakfast,FOOD0032,broccoli,180.0,61.2,5.0,12.6,0.7,1.3,3.8
NL00000166,MEM000438,2024-09-19,Breakfast,FOOD0021,jasmine rice,110.0,132.0,3.3,27.5,1.1,2.8,8.2
NL00000167,MEM002439,2024-02-23,Lunch,FOOD0060,almonds,280.0,1621.2,58.8,61.6,140.0,6.2,18.5
NL00000168,MEM001528,2024-12-06,Dinner,FOOD0072,milk,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00000169,MEM000961,2024-07-28,Breakfast,FOOD0039,lettuce,290.0,72.5,2.9,14.5,0.6,1.4,4.4
NL00000170,MEM000783,2024-01-05,Breakfast,FOOD0080,protein bar,140.0,140.0,4.2,21.0,4.2,2.1,6.3
NL00000171,MEM000549,2024-02-27,Lunch,FOOD0064,olive oil,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00000172,MEM001006,2024-05-26,Snack,FOOD0016,tempeh,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00000173,MEM000541,2024-06-30,Post-Workout,FOOD0077,whey protein,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00000174,MEM001865,2024-10-19,Breakfast,FOOD0043,brussels sprouts,140.0,140.0,4.2,21.0,4.2,2.1,6.3
NL00000175,MEM001367,2024-11-01,Snack,FOOD0048,orange,260.0,156.0,1.3,39.0,0.5,3.9,11.7
NL00000176,MEM000162,2024-09-29,Dinner,FOOD0048,orange,80.0,48.0,0.4,12.0,0.2,1.2,3.6
NL00000177,MEM000601,2024-02-10,Snack,FOOD0036,bell pepper,170.0,42.5,1.7,8.5,0.3,0.8,2.6
NL00000178,MEM000506,2024-11-15,Breakfast,FOOD0064,olive oil,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00000179,MEM002481,2024-11-05,Post-Workout,FOOD0080,protein bar,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00000180,MEM001421,2024-03-01,Dinner,FOOD0084,honey,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00000181,MEM001887,2024-02-10,Snack,FOOD0049,strawberry,280.0,168.0,1.4,42.0,0.6,4.2,12.6
NL00000182,MEM000243,2024-07-24,Lunch,FOOD0005,pork chop,60.0,150.0,15.6,0.0,10.2,0.0,0.0
NL00000183,MEM000974,2024-05-31,Snack,FOOD0063,almond butter,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000184,MEM001578,2024-02-06,Lunch,FOOD0067,flax seeds,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00000185,MEM001739,2024-02-21,Post-Workout,FOOD0060,almonds,230.0,1331.7,48.3,50.6,115.0,5.1,15.2
NL00000186,MEM000781,2024-08-23,Dinner,FOOD0044,zucchini,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00000187,MEM002256,2024-05-02,Dinner,FOOD0048,orange,170.0,102.0,0.8,25.5,0.3,2.6,7.6
NL00000188,MEM002234,2024-03-29,Dinner,FOOD0063,almond butter,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000189,MEM000656,2024-07-14,Post-Workout,FOOD0068,cashews,120.0,120.0,3.6,18.0,3.6,1.8,5.4
NL00000190,MEM000515,2024-05-15,Snack,FOOD0029,couscous,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00000191,MEM001807,2024-06-23,Snack,FOOD0045,mushrooms,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00000192,MEM000938,2024-01-19,Breakfast,FOOD0043,brussels sprouts,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00000193,MEM001956,2024-09-04,Dinner,FOOD0022,quinoa,120.0,144.0,5.3,25.2,2.3,2.5,7.6
NL00000194,MEM001993,2024-09-08,Lunch,FOOD0014,ground turkey,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000195,MEM002441,2024-09-27,Breakfast,FOOD0031,tortilla,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00000196,MEM000188,2024-10-10,Lunch,FOOD0064,olive oil,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00000197,MEM002359,2024-08-15,Lunch,FOOD0059,avocado,60.0,96.0,1.2,5.1,9.0,0.5,1.5
NL00000198,MEM001010,2024-08-06,Snack,FOOD0082,popcorn,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00000199,MEM000359,2024-04-30,Post-Workout,FOOD0030,bagel,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000200,MEM000716,2024-11-04,Snack,FOOD0071,greek yogurt,80.0,47.2,8.0,2.9,0.3,0.3,0.9
NL00000201,MEM002051,2024-08-03,Post-Workout,FOOD0013,turkey breast,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00000202,MEM001611,2024-10-23,Dinner,FOOD0010,cod,180.0,216.0,43.2,0.0,3.6,0.0,0.0
NL00000203,MEM000844,2024-05-25,Breakfast,FOOD0081,rice cakes,290.0,348.0,8.7,72.5,2.9,7.2,21.8
NL00000204,MEM000229,2024-06-17,Breakfast,FOOD0084,honey,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00000205,MEM000495,2024-11-17,Post-Workout,FOOD0011,eggs,220.0,341.0,28.6,2.4,24.2,0.2,0.7
NL00000206,MEM002467,2024-02-07,Dinner,FOOD0045,mushrooms,260.0,260.0,7.8,39.0,7.8,3.9,11.7
NL00000207,MEM001677,2024-11-09,Breakfast,FOOD0084,honey,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00000208,MEM001661,2024-03-10,Dinner,FOOD0084,honey,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000209,MEM001198,2024-05-13,Dinner,FOOD0026,pasta,140.0,183.4,7.0,35.0,1.5,3.5,10.5
NL00000210,MEM001589,2024-03-01,Lunch,FOOD0011,eggs,290.0,449.5,37.7,3.2,31.9,0.3,0.9
NL00000211,MEM001347,2024-11-06,Post-Workout,FOOD0081,rice cakes,300.0,360.0,9.0,75.0,3.0,7.5,22.5
NL00000212,MEM002060,2024-04-18,Breakfast,FOOD0044,zucchini,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00000213,MEM002120,2024-06-12,Breakfast,FOOD0047,apple,200.0,104.0,0.6,28.0,0.4,2.8,8.4
NL00000214,MEM001634,2024-06-26,Snack,FOOD0013,turkey breast,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00000215,MEM001786,2024-01-01,Lunch,FOOD0028,potato,90.0,77.4,1.4,18.0,0.1,1.8,5.4
NL00000216,MEM002141,2024-02-07,Snack,FOOD0011,eggs,130.0,201.5,16.9,1.4,14.3,0.1,0.4
